run,dataset_test,dataset_orig,dataset_train,train_points,recover_attempts_total,recover_successes_total,failed_before_first_success,first_success_elapsed,first_success_epoch,first_success_line,first_success_recover_acc1,first_success_recover_acc5,first_success_recover_loss,last_logged_train_step_before_success,last_logged_train_epoch_before_success,best_failed_recover_acc1,best_failed_recover_acc5,best_failed_recover_loss,max_train_acc1,max_train_acc5,min_train_loss,final_logged_train_acc1,final_logged_train_acc5,final_logged_train_loss
h5_seed0,128,40000,508158,100,7,3,3,0:00:55,0,175,0.234375,0.54296875,2.774160861968994,7901,0,0.22265625,0.53515625,2.800916910171509,0.19197556376457214,0.5269858837127686,2.5921130180358887,0.19197556376457214,0.5269858837127686,2.8548293113708496
h6_seed0,128,40000,508158,861,45,2,43,0:09:36,1,1122,0.15625,0.53515625,2.7983574867248535,85921,1,0.23046875,0.578125,2.786698818206787,0.3125,0.537433922290802,2.647124767303467,0.1694963127374649,0.5374327301979065,2.750593662261963
