recover/acc1,recover/acc5,recover/loss,recover/matched,recover/epoch,timestamp,elapsed,elapsed_seconds,line_no
0.17578125,0.53515625,2.812488555908203,False,0,03/31/26 15:43:52,0:00:15,15,103
0.22265625,0.53515625,2.800916910171509,False,0,03/31/26 15:44:05,0:00:28,28,127
0.21484375,0.5234375,2.804640054702759,False,0,03/31/26 15:44:18,0:00:41,41,151
0.234375,0.54296875,2.774160861968994,True,0,03/31/26 15:44:32,0:00:55,55,175
0.234375,0.54296875,2.774160623550415,False,0,03/31/26 15:44:34,0:00:56,56,185
0.23828125,0.54296875,2.7720248699188232,True,1,03/31/26 15:44:47,0:01:10,70,214
0.23828125,0.54296875,2.7720251083374023,True,1,03/31/26 15:44:49,0:01:12,72,224
