epoch,train_points,train_acc1_mean,train_acc1_last,train_loss_mean,train_loss_last,train_step_last,elapsed_hours_last,recover_points,recover_acc1_best,recover_acc1_mean,recover_loss_best,recover_matched_any,recover_elapsed_hours_last
0,238,0.16237914929080347,0.16756677627563477,2.8382814611707414,2.734292507171631,23701,0.0811111111111111,12,0.1875,0.1611328125,2.7980713844299316,False,0.08194444444444444
1,238,0.16793453186249532,0.16843163967132568,2.80366920423107,2.742225170135498,47451,0.16333333333333333,13,0.1875,0.17097355769230768,2.7988052368164062,False,0.1638888888888889
2,238,0.16875487321815572,0.16898111999034882,2.8040928500039235,2.772772789001465,71201,0.24444444444444444,13,0.203125,0.16466346153846154,2.7966110706329346,False,0.245
3,238,0.16927774970521445,0.16954666376113892,2.797339707863431,2.9171221256256104,94951,0.3263888888888889,13,0.203125,0.16706730769230768,2.7976746559143066,False,0.32722222222222225
4,238,0.16996946304786106,0.1703387051820755,2.7896183769242104,2.7738101482391357,118701,0.4075,13,0.19921875,0.1736778846153846,2.797205924987793,False,0.4088888888888889
5,238,0.17071486364643113,0.17095790803432465,2.7978988715580533,2.7817087173461914,142451,0.4888888888888889,13,0.21484375,0.17578125,2.7953662872314453,False,0.48944444444444446
6,238,0.17130982625384292,0.1715516895055771,2.7972213430564943,2.8938820362091064,166201,0.57,13,0.21484375,0.16917067307692307,2.799729347229004,False,0.5705555555555556
7,238,0.1718220667553549,0.17205095291137695,2.7932462982770776,2.7790465354919434,189951,0.6502777777777777,13,0.1875,0.16496394230769232,2.796454429626465,False,0.6513888888888889
8,238,0.17234434381503017,0.17253312468528748,2.793624270863894,2.9086153507232666,213701,0.7316666666666667,12,0.19921875,0.17447916666666666,2.797653913497925,False,0.7325
9,238,0.1727115186948736,0.17285408079624176,2.799687185207335,2.8854358196258545,237451,0.8122222222222222,13,0.203125,0.17427884615384615,2.796363592147827,False,0.8127777777777778
10,238,0.1729978582187861,0.17306260764598846,2.801971722049873,2.8693008422851562,261201,0.8933333333333333,13,0.1953125,0.171875,2.794264793395996,False,0.8941666666666667
11,238,0.17317413476084462,0.1732429414987564,2.799070021685432,2.7499403953552246,284951,0.9744444444444444,13,0.20703125,0.17848557692307693,2.795036792755127,False,0.975
12,238,0.1733179016023123,0.17332123219966888,2.7963112412380573,2.7646570205688477,308701,1.0555555555555556,13,0.203125,0.18118990384615385,2.7945942878723145,False,1.0563888888888888
13,238,0.1733516417756802,0.17338719964027405,2.795538339294305,2.8964920043945312,332451,1.136388888888889,13,0.2109375,0.17247596153846154,2.796786069869995,False,1.1369444444444445
14,238,0.1734432687654215,0.17347244918346405,2.787792277937176,2.7522644996643066,356201,1.2177777777777778,13,0.19921875,0.18449519230769232,2.7959189414978027,False,1.2183333333333333
15,238,0.1735145247408322,0.17354227602481842,2.7914270593338655,2.7716047763824463,379951,1.2977777777777777,13,0.203125,0.16856971153846154,2.7959587574005127,False,1.2991666666666666
16,238,0.17361427574348048,0.17363856732845306,2.7960023449248625,2.9205963611602783,403701,1.3788888888888888,12,0.19921875,0.17805989583333334,2.7959768772125244,False,1.3794444444444445
17,238,0.17371901838468903,0.17375923693180084,2.796694959912981,2.9000582695007324,427451,1.4602777777777778,13,0.203125,0.1853966346153846,2.7968204021453857,False,1.461111111111111
18,238,0.1737935970059964,0.17383453249931335,2.7918947233873257,2.77834415435791,451201,1.541111111111111,13,0.19921875,0.1814903846153846,2.795664072036743,False,1.5416666666666667
19,238,0.17389609746071472,0.17392097413539886,2.791905121643002,2.779474973678589,474951,1.6225,13,0.20703125,0.18028846153846154,2.796462297439575,False,1.6230555555555555
20,238,0.1739507571739309,0.17395393550395966,2.7913585700908627,2.776326894760132,498701,1.7033333333333334,13,0.203125,0.18118990384615385,2.7960455417633057,False,1.7038888888888888
